step,loss,lr
1,1.3973,3.3333333333333334e-08
500,1.3882,1.6666666666666667e-05
1000,1.381,3.3333333333333335e-05
1500,1.3784,5e-05
2000,1.375,6.666666666666667e-05
2500,1.3707,8.333333333333334e-05
3000,1.3665,0.0001
3500,1.353,9.983164983164983e-05
4000,1.3594,9.966329966329967e-05
4500,1.3487,9.94949494949495e-05
5000,1.3411,9.932659932659934e-05
5500,1.343,9.915824915824916e-05
6000,1.3379,9.8989898989899e-05
6500,1.3348,9.882154882154883e-05
7000,1.3298,9.865319865319865e-05
7500,1.323,9.848484848484849e-05
8000,1.3312,9.831649831649832e-05
8500,1.3116,9.814814814814815e-05
9000,1.3278,9.797979797979798e-05
9500,1.3192,9.781144781144782e-05
10000,1.3157,9.764309764309764e-05
10500,1.3142,9.747474747474747e-05
11000,1.3111,9.730639730639732e-05
11500,1.3102,9.713804713804715e-05
12000,1.3059,9.696969696969698e-05
12500,1.3018,9.68013468013468e-05
13000,1.3053,9.663299663299664e-05
13500,1.3068,9.646464646464647e-05
14000,1.2975,9.62962962962963e-05
14500,1.2962,9.612794612794614e-05
15000,1.2936,9.595959595959596e-05
15500,1.2986,9.57912457912458e-05
16000,1.2905,9.562289562289563e-05
16500,1.2903,9.545454545454546e-05
17000,1.2956,9.528619528619529e-05
17500,1.2828,9.511784511784512e-05
18000,1.2961,9.494949494949495e-05
18500,1.2853,9.478114478114478e-05
19000,1.2903,9.461279461279463e-05
19500,1.2776,9.444444444444444e-05
20000,1.2824,9.427609427609429e-05
20500,1.2853,9.410774410774412e-05
21000,1.2776,9.393939393939395e-05
21500,1.2776,9.377104377104378e-05
22000,1.2735,9.36026936026936e-05
22500,1.2795,9.343434343434344e-05
23000,1.2757,9.326599326599327e-05
23500,1.2713,9.309764309764311e-05
24000,1.2798,9.292929292929293e-05
24500,1.2584,9.276094276094277e-05
25000,1.2723,9.25925925925926e-05
25500,1.2686,9.242424242424242e-05
26000,1.2657,9.225589225589226e-05
26500,1.266,9.208754208754209e-05
27000,1.2581,9.191919191919192e-05
27500,1.2684,9.175084175084175e-05
28000,1.2554,9.15824915824916e-05
28500,1.254,9.141414141414141e-05
29000,1.2555,9.124579124579124e-05
29500,1.2698,9.107744107744109e-05
30000,1.2477,9.090909090909092e-05
30500,1.2488,9.074074074074075e-05
31000,1.2558,9.057239057239058e-05
31500,1.2517,9.040404040404041e-05
32000,1.2564,9.023569023569024e-05
32500,1.2437,9.006734006734007e-05
33000,1.2536,8.98989898989899e-05
33500,1.2617,8.973063973063973e-05
34000,1.2491,8.956228956228957e-05
34500,1.2457,8.93939393939394e-05
35000,1.2411,8.922558922558923e-05
35500,1.2364,8.905723905723906e-05
36000,1.2465,8.888888888888889e-05
36500,1.2481,8.872053872053872e-05
37000,1.2422,8.855218855218855e-05
37500,1.2434,8.83838383838384e-05
38000,1.2325,8.821548821548821e-05
38500,1.2372,8.804713804713806e-05
39000,1.2432,8.787878787878789e-05
39500,1.232,8.77104377104377e-05
40000,1.2432,8.754208754208755e-05
40500,1.2334,8.737373737373738e-05
41000,1.2407,8.720538720538721e-05
41500,1.243,8.703703703703704e-05
42000,1.2256,8.686868686868688e-05
42500,1.2384,8.67003367003367e-05
43000,1.2396,8.653198653198653e-05
43500,1.2276,8.636363636363637e-05
44000,1.2268,8.619528619528619e-05
44500,1.2341,8.602693602693603e-05
45000,1.2312,8.585858585858586e-05
45500,1.2252,8.56902356902357e-05
46000,1.2224,8.552188552188552e-05
46500,1.2283,8.535353535353535e-05
47000,1.2212,8.518518518518518e-05
47500,1.2271,8.501683501683501e-05
48000,1.2322,8.484848484848486e-05
48500,1.2275,8.468013468013468e-05
49000,1.2224,8.451178451178452e-05
49500,1.2244,8.434343434343435e-05
50000,1.224,8.417508417508418e-05
50500,1.2216,8.400673400673401e-05
51000,1.2256,8.383838383838384e-05
51500,1.2153,8.367003367003367e-05
52000,1.2236,8.35016835016835e-05
52500,1.2235,8.333333333333334e-05
53000,1.2184,8.316498316498317e-05
53500,1.2188,8.2996632996633e-05
54000,1.2221,8.282828282828283e-05
54500,1.2204,8.265993265993266e-05
55000,1.2206,8.24915824915825e-05
55500,1.2123,8.232323232323233e-05
56000,1.216,8.215488215488217e-05
56500,1.2202,8.198653198653199e-05
57000,1.2241,8.181818181818183e-05
57500,1.2233,8.164983164983166e-05
58000,1.217,8.148148148148148e-05
58500,1.2111,8.131313131313132e-05
59000,1.216,8.114478114478115e-05
59500,1.2076,8.097643097643098e-05
60000,1.2149,8.080808080808081e-05
60500,1.2188,8.063973063973065e-05
61000,1.2159,8.047138047138047e-05
61500,1.2016,8.03030303030303e-05
62000,1.2151,8.013468013468015e-05
62500,1.215,7.996632996632996e-05
63000,1.2138,7.97979797979798e-05
63500,1.2005,7.962962962962964e-05
64000,1.21,7.946127946127947e-05
64500,1.2211,7.92929292929293e-05
65000,1.2123,7.912457912457913e-05
65500,1.2118,7.895622895622896e-05
66000,1.2102,7.878787878787879e-05
66500,1.2022,7.861952861952863e-05
67000,1.2078,7.845117845117845e-05
67500,1.202,7.828282828282829e-05
68000,1.2095,7.811447811447812e-05
68500,1.2187,7.794612794612795e-05
69000,1.207,7.777777777777778e-05
69500,1.2014,7.760942760942761e-05
70000,1.2037,7.744107744107744e-05
70500,1.1973,7.727272727272727e-05
71000,1.208,7.710437710437712e-05
71500,1.1967,7.693602693602693e-05
72000,1.2159,7.676767676767676e-05
72500,1.2045,7.65993265993266e-05
73000,1.2082,7.643097643097644e-05
73500,1.1993,7.626262626262627e-05
74000,1.209,7.60942760942761e-05
74500,1.1978,7.592592592592593e-05
75000,1.2098,7.575757575757576e-05
75500,1.2101,7.558922558922559e-05
76000,1.2025,7.542087542087543e-05
76500,1.1988,7.525252525252525e-05
77000,1.1969,7.508417508417509e-05
77500,1.2018,7.491582491582492e-05
78000,1.2038,7.474747474747475e-05
78500,1.2032,7.457912457912458e-05
79000,1.2157,7.441077441077443e-05
79500,1.1948,7.424242424242424e-05
80000,1.1932,7.407407407407407e-05
80500,1.2076,7.390572390572392e-05
81000,1.1893,7.373737373737373e-05
81500,1.2019,7.356902356902358e-05
82000,1.2086,7.340067340067341e-05
82500,1.1966,7.323232323232324e-05
83000,1.1987,7.306397306397307e-05
83500,1.203,7.28956228956229e-05
84000,1.2048,7.272727272727273e-05
84500,1.1994,7.255892255892256e-05
85000,1.2027,7.23905723905724e-05
85500,1.1931,7.222222222222222e-05
86000,1.1828,7.205387205387206e-05
86500,1.1964,7.188552188552189e-05
87000,1.1921,7.171717171717171e-05
87500,1.1983,7.154882154882155e-05
88000,1.2011,7.138047138047138e-05
88500,1.2088,7.121212121212121e-05
89000,1.1945,7.104377104377104e-05
89500,1.2024,7.087542087542089e-05
90000,1.1986,7.07070707070707e-05
90500,1.1945,7.053872053872053e-05
