step,loss,lr
1,1.3857,1.0000000000000001e-07
500,1.3894,5e-05
1000,1.3796,0.0001
1500,1.3797,9.94949494949495e-05
2000,1.3729,9.8989898989899e-05
2500,1.3688,9.848484848484849e-05
3000,1.3599,9.797979797979798e-05
3500,1.3582,9.747474747474747e-05
4000,1.3494,9.696969696969698e-05
4500,1.3486,9.646464646464647e-05
5000,1.3362,9.595959595959596e-05
5500,1.3365,9.545454545454546e-05
6000,1.3315,9.494949494949495e-05
6500,1.3328,9.444444444444444e-05
7000,1.3277,9.393939393939395e-05
7500,1.3237,9.343434343434344e-05
8000,1.32,9.292929292929293e-05
8500,1.3234,9.242424242424242e-05
9000,1.3217,9.191919191919192e-05
9500,1.3123,9.141414141414141e-05
10000,1.3206,9.090909090909092e-05
10500,1.3147,9.040404040404041e-05
11000,1.3133,8.98989898989899e-05
11500,1.3165,8.93939393939394e-05
12000,1.3102,8.888888888888889e-05
12500,1.3118,8.83838383838384e-05
13000,1.3101,8.787878787878789e-05
13500,1.3058,8.737373737373738e-05
14000,1.3004,8.686868686868688e-05
14500,1.2996,8.636363636363637e-05
15000,1.3033,8.585858585858586e-05
15500,1.2926,8.535353535353535e-05
16000,1.3017,8.484848484848486e-05
16500,1.2974,8.434343434343435e-05
17000,1.2981,8.383838383838384e-05
17500,1.2915,8.333333333333334e-05
18000,1.2886,8.282828282828283e-05
18500,1.2873,8.232323232323233e-05
19000,1.2844,8.181818181818183e-05
19500,1.2879,8.131313131313132e-05
20000,1.2882,8.080808080808081e-05
20500,1.2876,8.03030303030303e-05
21000,1.28,7.97979797979798e-05
21500,1.2857,7.92929292929293e-05
22000,1.2802,7.878787878787879e-05
22500,1.2807,7.828282828282829e-05
23000,1.2743,7.777777777777778e-05
23500,1.2858,7.727272727272727e-05
24000,1.2753,7.676767676767676e-05
24500,1.2735,7.626262626262627e-05
25000,1.2733,7.575757575757576e-05
25500,1.279,7.525252525252525e-05
26000,1.2696,7.474747474747475e-05
26500,1.2769,7.424242424242424e-05
27000,1.2676,7.373737373737373e-05
27500,1.2694,7.323232323232324e-05
28000,1.2621,7.272727272727273e-05
28500,1.2675,7.222222222222222e-05
29000,1.2681,7.171717171717171e-05
29500,1.26,7.121212121212121e-05
30000,1.2601,7.07070707070707e-05
30500,1.2631,7.020202020202021e-05
31000,1.2621,6.96969696969697e-05
31500,1.2501,6.91919191919192e-05
32000,1.2631,6.86868686868687e-05
32500,1.2623,6.818181818181818e-05
33000,1.2575,6.767676767676769e-05
33500,1.2562,6.717171717171718e-05
34000,1.2526,6.666666666666667e-05
34500,1.2528,6.616161616161617e-05
35000,1.2494,6.565656565656566e-05
35500,1.2443,6.515151515151516e-05
36000,1.2558,6.464646464646466e-05
36500,1.2527,6.414141414141415e-05
37000,1.2584,6.363636363636364e-05
37500,1.2558,6.313131313131313e-05
38000,1.2446,6.262626262626264e-05
38500,1.2431,6.212121212121213e-05
39000,1.2449,6.161616161616162e-05
39500,1.2539,6.111111111111112e-05
40000,1.2373,6.060606060606061e-05
40500,1.2429,6.01010101010101e-05
41000,1.2464,5.959595959595959e-05
41500,1.2435,5.90909090909091e-05
42000,1.2391,5.858585858585859e-05
42500,1.236,5.808080808080808e-05
43000,1.2403,5.757575757575758e-05
43500,1.2356,5.707070707070707e-05
44000,1.2335,5.6565656565656563e-05
44500,1.2404,5.606060606060606e-05
45000,1.2321,5.555555555555556e-05
45500,1.2345,5.5050505050505056e-05
46000,1.2391,5.4545454545454546e-05
46500,1.2376,5.4040404040404044e-05
47000,1.2359,5.353535353535354e-05
47500,1.2332,5.303030303030303e-05
48000,1.238,5.2525252525252536e-05
48500,1.2254,5.2020202020202026e-05
49000,1.2265,5.151515151515152e-05
49500,1.2313,5.101010101010101e-05
50000,1.2283,5.050505050505051e-05
50500,1.2292,5e-05
51000,1.2297,4.94949494949495e-05
51500,1.2267,4.898989898989899e-05
52000,1.2283,4.848484848484849e-05
52500,1.2286,4.797979797979798e-05
53000,1.2229,4.7474747474747476e-05
53500,1.226,4.696969696969697e-05
54000,1.2237,4.6464646464646464e-05
54500,1.2308,4.595959595959596e-05
55000,1.2203,4.545454545454546e-05
55500,1.2178,4.494949494949495e-05
56000,1.2168,4.4444444444444447e-05
56500,1.2275,4.3939393939393944e-05
57000,1.2183,4.343434343434344e-05
57500,1.217,4.292929292929293e-05
58000,1.2234,4.242424242424243e-05
58500,1.2125,4.191919191919192e-05
59000,1.2144,4.141414141414142e-05
59500,1.2215,4.0909090909090915e-05
60000,1.213,4.0404040404040405e-05
60500,1.2236,3.98989898989899e-05
61000,1.2131,3.939393939393939e-05
61500,1.2145,3.888888888888889e-05
62000,1.2152,3.838383838383838e-05
62500,1.2141,3.787878787878788e-05
63000,1.2128,3.7373737373737376e-05
63500,1.2122,3.686868686868687e-05
64000,1.2153,3.6363636363636364e-05
64500,1.2125,3.5858585858585855e-05
65000,1.2113,3.535353535353535e-05
65500,1.2105,3.484848484848485e-05
66000,1.216,3.434343434343435e-05
66500,1.2012,3.3838383838383844e-05
67000,1.2086,3.3333333333333335e-05
67500,1.2135,3.282828282828283e-05
68000,1.2166,3.232323232323233e-05
68500,1.2089,3.181818181818182e-05
69000,1.2025,3.131313131313132e-05
69500,1.2111,3.080808080808081e-05
70000,1.1987,3.0303030303030306e-05
70500,1.2048,2.9797979797979796e-05
71000,1.1986,2.9292929292929294e-05
71500,1.206,2.878787878787879e-05
72000,1.2058,2.8282828282828282e-05
72500,1.1967,2.777777777777778e-05
73000,1.2091,2.7272727272727273e-05
73500,1.1957,2.676767676767677e-05
74000,1.2113,2.6262626262626268e-05
74500,1.1934,2.575757575757576e-05
75000,1.2054,2.5252525252525256e-05
75500,1.2033,2.474747474747475e-05
76000,1.1977,2.4242424242424244e-05
76500,1.1963,2.3737373737373738e-05
77000,1.1904,2.3232323232323232e-05
77500,1.1981,2.272727272727273e-05
78000,1.1995,2.2222222222222223e-05
78500,1.1899,2.171717171717172e-05
79000,1.1846,2.1212121212121215e-05
79500,1.1862,2.070707070707071e-05
80000,1.2038,2.0202020202020203e-05
80500,1.1901,1.9696969696969697e-05
81000,1.2042,1.919191919191919e-05
81500,1.1873,1.8686868686868688e-05
82000,1.1933,1.8181818181818182e-05
82500,1.1871,1.7676767676767676e-05
83000,1.1963,1.7171717171717173e-05
83500,1.1833,1.6666666666666667e-05
84000,1.1958,1.6161616161616165e-05
84500,1.1833,1.565656565656566e-05
85000,1.1855,1.5151515151515153e-05
85500,1.1941,1.4646464646464647e-05
86000,1.1858,1.4141414141414141e-05
86500,1.187,1.3636363636363637e-05
87000,1.1978,1.3131313131313134e-05
87500,1.1805,1.2626262626262628e-05
88000,1.1876,1.2121212121212122e-05
88500,1.1714,1.1616161616161616e-05
89000,1.1911,1.1111111111111112e-05
89500,1.1935,1.0606060606060607e-05
90000,1.1823,1.0101010101010101e-05
90500,1.187,9.595959595959595e-06
91000,1.1934,9.090909090909091e-06
91500,1.1848,8.585858585858587e-06
92000,1.181,8.080808080808082e-06
92500,1.1762,7.5757575757575764e-06
93000,1.176,7.0707070707070704e-06
93500,1.196,6.565656565656567e-06
94000,1.182,6.060606060606061e-06
94500,1.1715,5.555555555555556e-06
95000,1.1734,5.050505050505051e-06
95500,1.175,4.5454545454545455e-06
96000,1.1726,4.040404040404041e-06
96500,1.1697,3.5353535353535352e-06
97000,1.1842,3.0303030303030305e-06
97500,1.178,2.5252525252525253e-06
98000,1.1772,2.0202020202020206e-06
98500,1.1685,1.5151515151515152e-06
99000,1.1762,1.0101010101010103e-06
99500,1.171,5.050505050505052e-07
100000,1.1801,0.0
