step,loss,lr
1,1.3973,6.666666666666668e-09
500,1.3941,3.3333333333333333e-06
1000,1.3831,6.666666666666667e-06
1500,1.3808,1e-05
2000,1.3808,1.3333333333333333e-05
2500,1.3765,1.6666666666666667e-05
3000,1.3752,2e-05
3500,1.3671,2.3333333333333336e-05
4000,1.3745,2.6666666666666667e-05
4500,1.3673,3e-05
5000,1.3612,3.3333333333333335e-05
5500,1.3611,3.6666666666666666e-05
6000,1.3568,4e-05
6500,1.3568,4.3333333333333334e-05
7000,1.3483,4.666666666666667e-05
7500,1.3452,5e-05
8000,1.3511,5.333333333333333e-05
8500,1.3321,5.666666666666667e-05
9000,1.3461,6e-05
9500,1.3412,6.333333333333333e-05
10000,1.3323,6.666666666666667e-05
10500,1.3328,7e-05
11000,1.3319,7.333333333333333e-05
11500,1.3288,7.666666666666667e-05
12000,1.328,8e-05
12500,1.3222,8.333333333333334e-05
13000,1.3222,8.666666666666667e-05
13500,1.3236,9e-05
14000,1.3154,9.333333333333334e-05
14500,1.3167,9.666666666666667e-05
15000,1.3117,0.0001
15500,1.3121,0.0001
16000,1.3095,0.0001
16500,1.3056,0.0001
17000,1.3124,0.0001
17500,1.3016,0.0001
18000,1.3056,0.0001
18500,1.2968,0.0001
19000,1.3072,0.0001
19500,1.2888,0.0001
20000,1.2933,0.0001
20500,1.2975,0.0001
21000,1.2892,0.0001
21500,1.2916,0.0001
22000,1.2844,0.0001
22500,1.291,0.0001
23000,1.2869,0.0001
23500,1.2857,0.0001
24000,1.2866,0.0001
24500,1.2728,0.0001
25000,1.2841,0.0001
25500,1.2834,0.0001
26000,1.2784,0.0001
26500,1.2747,0.0001
27000,1.2709,0.0001
27500,1.275,0.0001
28000,1.2712,0.0001
28500,1.2604,0.0001
29000,1.2624,0.0001
29500,1.2787,0.0001
30000,1.2594,0.0001
30500,1.2582,0.0001
31000,1.2624,0.0001
31500,1.2646,0.0001
32000,1.2679,0.0001
32500,1.2536,0.0001
33000,1.2573,0.0001
33500,1.2657,0.0001
34000,1.2553,0.0001
34500,1.2536,0.0001
35000,1.2558,0.0001
35500,1.2454,0.0001
36000,1.2579,0.0001
36500,1.2526,0.0001
37000,1.2529,0.0001
37500,1.2544,0.0001
38000,1.242,0.0001
38500,1.2499,0.0001
39000,1.2534,0.0001
39500,1.2371,0.0001
40000,1.2475,0.0001
40500,1.2411,0.0001
41000,1.2503,0.0001
41500,1.2487,0.0001
42000,1.2323,0.0001
42500,1.2431,0.0001
43000,1.2465,0.0001
43500,1.2373,0.0001
44000,1.2354,0.0001
44500,1.2468,0.0001
45000,1.2406,0.0001
45500,1.2283,0.0001
46000,1.233,0.0001
46500,1.2368,0.0001
47000,1.2304,0.0001
47500,1.2356,0.0001
48000,1.2341,0.0001
48500,1.2334,0.0001
49000,1.2291,0.0001
49500,1.2366,0.0001
50000,1.2364,0.0001
50500,1.2231,0.0001
