step,loss,lr
1,1.4458,0.0001
10,1.3519,9.090909090909092e-05
20,1.2268,8.080808080808081e-05
30,1.0733,7.07070707070707e-05
40,1.0589,6.060606060606061e-05
50,0.9821,5.050505050505051e-05
60,0.9716,4.0404040404040405e-05
70,0.8616,3.0303030303030306e-05
80,0.873,2.0202020202020203e-05
90,0.8968,1.0101010101010101e-05
100,0.8403,0.0
100,1.0145583391189574,None
step,loss,lr
1,1.4458,2.5e-05
10,1.3695,9.848484848484849e-05
20,1.2401,9.595959595959596e-05
30,1.0694,9.343434343434344e-05
40,1.04,9.090909090909092e-05
50,0.9489,8.83838383838384e-05
60,0.9227,8.585858585858586e-05
70,0.7814,8.333333333333334e-05
80,0.7743,8.080808080808081e-05
90,0.7532,7.828282828282829e-05
100,0.6746,7.575757575757576e-05
110,0.619,7.323232323232324e-05
120,0.6853,7.07070707070707e-05
130,0.4473,6.818181818181818e-05
140,0.5105,6.565656565656566e-05
150,0.5887,6.313131313131313e-05
160,0.5469,6.060606060606061e-05
170,0.4125,5.808080808080808e-05
180,0.4504,5.555555555555556e-05
190,0.4795,5.303030303030303e-05
200,0.448,5.050505050505051e-05
210,0.4466,4.797979797979798e-05
220,0.4316,4.545454545454546e-05
230,0.4919,4.292929292929293e-05
240,0.432,4.0404040404040405e-05
250,0.3312,3.787878787878788e-05
260,0.4089,3.535353535353535e-05
270,0.4073,3.282828282828283e-05
280,0.3353,3.0303030303030306e-05
290,0.3682,2.777777777777778e-05
300,0.3563,2.5252525252525256e-05
310,0.3517,2.272727272727273e-05
320,0.4507,2.0202020202020203e-05
330,0.3858,1.7676767676767676e-05
340,0.3144,1.5151515151515153e-05
350,0.3482,1.2626262626262628e-05
360,0.3701,1.0101010101010101e-05
370,0.3486,7.5757575757575764e-06
380,0.4247,5.050505050505051e-06
390,0.3567,2.5252525252525253e-06
400,0.7478,0.0
400,0.5719431167840958,None
step,loss,lr
1,1.4458,2.5e-05
10,1.3695,9.848484848484849e-05
